title,overview,release_year,genres,director,cast,source,vote_average,runtime
Man of Steel,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",2013,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",['Zack Snyder'],"['Henry Cavill', 'Amy Adams', 'Michael Shannon', 'Kevin Costner', 'Diane Lane', 'Russell Crowe', 'Laurence Fishburne', 'Antje Traue', 'Christopher Meloni', 'Jadin Gould', 'Tahmoh Penikett', 'Ayelet Zurer', 'Richard Schiff', 'Dylan Sprayberry', 'Michael Kelly', 'Carla Gugino', 'Richard Cetrone', 'Mackenzie Gray', 'Julian Richings', 'Mary Black', 'Samantha Jo', 'Rebecca Buller', 'Christina Wren', 'David Lewis', 'Doug Abrahams', 'Brad Kelly', 'Alessandro Juliani', 'Jack Foley', 'Robert Gerdisch', 'Harry Lennix', 'Jacqueline Scislowski', 'Sean Campbell', 'Raj Lal']",tmdb,6.5,143.0
The Chronicles of Narnia: Prince Caspian,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",2008,"['Adventure', 'Family', 'Fantasy']",['Andrew Adamson'],"['Ben Barnes', 'William Moseley', 'Anna Popplewell', 'Skandar Keynes', 'Georgie Henley', 'Sergio Castellitto', 'Alicia Borrachero', 'Peter Dinklage', 'Warwick Davis', 'Vincent Grass', 'Pierfrancesco Favino', 'Damián Alcázar', 'Simón Andreu', 'Predrag Bjelac', 'Shane Rangi', 'Cornell John', 'Liam Neeson', 'Ken Stott', 'Tilda Swinton', 'Eddie Izzard', 'Klára Issová']",tmdb,6.3,150.0
The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",2012,"['Science Fiction', 'Action', 'Adventure']",['Joss Whedon'],"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson', 'Jeremy Renner', 'Tom Hiddleston', 'Clark Gregg', 'Cobie Smulders', 'Stellan Skarsgård', 'Samuel L. Jackson', 'Gwyneth Paltrow', 'Paul Bettany', 'Jenny Agutter', 'Walter Perez', 'Powers Boothe', 'Stan Lee', 'Arthur Darbinyan', 'Donald Li', 'Ashley Johnson', 'Harry Dean Stanton', 'Alicia Sixtos', 'Dieter Riesle', 'Jamie McShane', 'Jeff Wolfe', 'Jerzy Skolimowski', 'Maximiliano Hernández', 'Alexis Denisof', 'James Eckhouse', 'Enver Gjokaj', 'Damion Poitier', 'Tina Benko', 'Kirill Nikiforov', ""M'laah Kaur Singh"", 'Rashmi Rustagi', 'Warren Kole', 'Jesse Garcia', 'Kenneth Tigar', 'Josh Cowdery', 'Katsumi Komatsu', 'Yumiko Komatsu', 'Momoko Komatsu', 'Robert Clohessy', 'Fernanda Toker', 'Andrea Vecchio', 'Robin Swoboda', 'Brent McGee', 'Michael Zhang', 'William-Christopher Stephens', 'Kelley Robins', 'Romy Rosemont', 'Pat Kiernan', 'Thomas Roberts', 'Jillian Morgese', 'Catherine Anderson', 'Ricardo Andres', 'Logan Bennett', 'Mayank Bhatter', 'Sharita Bone', 'Jason Botsford', 'Mary Kate Campbell', 'Gene N. Chavez', 'Layla Cushman', 'Robert Dean', 'Rick Dremann', 'Jeffrey Feingold', 'Lou Ferrigno', 'Rod Fielder', 'Eric Frank', 'Israel Hall', 'Carmen Dee Harris', 'Alexander Christopher Jones', 'Mike Karban', 'Demoine Kinney', 'Andrew Knode', 'Annette Lawless', 'Kimberly J. Mahoney', 'Todd Manes', 'Jorge Mardel', 'Tiffany Sander McKenzie', 'Michael McMillan', 'Sean Meehan', 'Joti Nagra', 'Holly Neelie', 'Caleb Daniel Noal', ""Joseph O'Brien"", 'Jeremy Orr', 'Nate Paige', 'Martin Palmer', 'Maria Perossa', 'Caleb Pieplow', 'Alexander Daniel Pimentel', 'Frank Powers', 'Jaime Powers', 'Brent Reichert', 'Kelly Ruble', 'Gina Sarno', 'Robert B. Schneider IV', 'Jeff Seich', 'Christina Shaffer', 'Alonda Shevette', 'Douglas Slygh', 'Colin Strause', 'Robert P. Thitoff', 'George Thomas', 'Shane Thompson', 'Jerry Lee Tucker', 'Tai Urban', 'Chris Vaina', 'Sandra Weston', 'Seth Zielicke', 'Alex DeCourville', 'Debbie Scaletta', 'Andrea-Nichole Olivas', 'Tina Grimm']",tmdb,7.4,143.0
Pirates of the Caribbean: On Stranger Tides,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",2011,"['Adventure', 'Action', 'Fantasy']",['Rob Marshall'],"['Johnny Depp', 'Penélope Cruz', 'Ian McShane', 'Kevin McNally', 'Geoffrey Rush', 'Sam Claflin', 'Astrid Bergès-Frisbey', 'Stephen Graham', 'Greg Ellis', ""Damian O'Hare"", 'Óscar Jaenada', 'Richard Griffiths', 'Keith Richards', 'Gemma Ward', 'Judi Dench', 'Ian Mercer', 'Robbie Kay', 'Christopher Fairbank', 'Yuki Matsuzaki', 'Steve Evets', 'Bronson Webb', 'Derek Mears', 'Deobia Oparei', 'Sebastian Armesto', 'Anton Lesser', 'Roger Allam', 'Paul Bazely', 'Richard Thomson', 'Danny Le Boyer', 'Alan J. Utley-Moore', 'Luke Roberts', 'Emilia Jones', 'Sanya Hughes', 'LeJon', 'Siegfried Peters']",tmdb,6.4,136.0
Men in Black 3,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.",2012,"['Action', 'Comedy', 'Science Fiction']",['Barry Sonnenfeld'],"['Will Smith', 'Tommy Lee Jones', 'Josh Brolin', 'Michael Stuhlbarg', 'Emma Thompson', 'Jemaine Clement', 'Nicole Scherzinger', 'Alice Eve', 'Bill Hader', 'Michael Chernus', 'David Rasche', 'Keone Young', 'Cayen Martin', 'Mike Colter', 'Mela Hudson', 'Will Arnett', 'Kelvin Davis', 'Dan Bittner']",tmdb,6.2,106.0
The Hobbit: The Battle of the Five Armies,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",2014,"['Action', 'Adventure', 'Fantasy']",['Peter Jackson'],"['Martin Freeman', 'Ian McKellen', 'Richard Armitage', 'Ken Stott', 'Graham McTavish', 'William Kircher', 'James Nesbitt', 'Stephen Hunter', ""Dean O'Gorman"", 'Aidan Turner', 'John Callen', 'Peter Hambleton', 'Jed Brophy', 'Mark Hadlow', 'Adam Brown', 'Orlando Bloom', 'Evangeline Lilly', 'Lee Pace', 'Cate Blanchett', 'Hugo Weaving', 'Christopher Lee', 'Ian Holm', 'Mikael Persbrandt', 'Sylvester McCoy', 'Luke Evans', 'Stephen Fry', 'John Bell', 'Ryan Gage', 'Peggy Nesbitt', 'Mary Nesbitt', 'Manu Bennett', 'John Tui', 'Billy Connolly', 'Benedict Cumberbatch', 'Kelly Kilgour', 'Sarah Peirse', 'Nick Blake', 'Simon London', 'Conan Stevens', 'Allan Smith', 'Miranda Harcourt', 'Thomasin McKenzie']",tmdb,7.1,144.0
The Amazing Spider-Man,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",2012,"['Action', 'Adventure', 'Fantasy']",['Marc Webb'],"['Andrew Garfield', 'Emma Stone', 'Rhys Ifans', 'Denis Leary', 'Campbell Scott', 'Irrfan Khan', 'Martin Sheen', 'Sally Field', 'Max Charles', 'Chris Zylka', 'Embeth Davidtz', 'Leif Gantvoort', 'Hannah Marks', 'Kelsey Asbille', 'C. Thomas Howell', 'Stan Lee', 'Michael Massee', 'Michael Papajohn', 'Kari Coleman', 'Charlie DePew', 'Skyler Gisondo', 'Jacob Rodier', 'Jake Keiffer', 'Kevin McCorkle', 'Barbara Eve Harris', 'Danielle Burgio', 'Michael Barra', 'Andy Pessoa', 'Andy Gladbach', 'Ring Hendricks-Tellefsen', 'Tom Waite', 'Keith Campbell', 'Steve DeCastro', 'James Chen', 'Alexander Bedria', 'John Burke', 'Jill Flint', 'Mark Daugherty', 'Milton González', 'Vincent Laresca', 'Damien Lemon', 'Ty Upshaw', 'Tia Texada', 'Jay Caputo', 'Terry Bozeman', 'Jennifer Lyons', 'Amber Stevens', 'Zoey Deutch', 'Jody Cosgrove-Kao', 'Max Bogner', 'Ethan Cohn', 'Miles Elliot', 'Miranda LaDawn Hill', 'Amanda MacDonald', 'Maury Morgan', 'Amy Novondo', 'Kristin Quick']",tmdb,6.5,136.0
Robin Hood,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",2010,"['Action', 'Adventure']",['Ridley Scott'],"['Russell Crowe', 'Cate Blanchett', 'Max von Sydow', 'William Hurt', 'Mark Strong', 'Oscar Isaac', 'Danny Huston', 'Eileen Atkins', 'Mark Addy', 'Matthew Macfadyen', 'Kevin Durand', 'Scott Grimes', 'Alan Doyle', 'Douglas Hodge', 'Léa Seydoux', 'Jonathan Zaccaï', 'Robert Pugh', 'Gerard McSorley', 'Velibor Topic', 'Ciaran Flynn', 'Simon McBurney', 'Mark Lewis Jones', 'Bronson Webb', 'Denis Ménochet', 'Ruby Bentall', 'Jessica Raine', 'John Nicholas', 'Roy Holder', 'Denise Gough', 'Luke Evans', 'Arthur Darvill', 'Giannina Facio', 'Ralph Ineson', 'Jake Curran']",tmdb,6.2,140.0
The Hobbit: The Desolation of Smaug,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",2013,"['Adventure', 'Fantasy']",['Peter Jackson'],"['Martin Freeman', 'Ian McKellen', 'Richard Armitage', 'Ken Stott', 'Graham McTavish', 'William Kircher', 'James Nesbitt', 'Stephen Hunter', ""Dean O'Gorman"", 'Aidan Turner', 'Benedict Cumberbatch', 'Lee Pace', 'Luke Evans', 'Evangeline Lilly', 'Orlando Bloom', 'Mikael Persbrandt', 'Manu Bennett', 'Stephen Fry', 'John Bell', 'Sylvester McCoy', 'Terry Notary', 'Peter Hambleton', 'Cate Blanchett', 'Stephen Colbert', 'Jed Brophy', 'Sarah Peirse', 'Mary Nesbitt', 'Peggy Nesbitt', 'Mark Hadlow', 'John Callen', 'Adam Brown', 'Ben Mitchell']",tmdb,7.6,161.0
King Kong,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",2005,"['Adventure', 'Drama', 'Action']",['Peter Jackson'],"['Naomi Watts', 'Jack Black', 'Adrien Brody', 'Thomas Kretschmann', 'Colin Hanks', 'Andy Serkis', 'Evan Parke', 'Jamie Bell', 'Lobo Chan', 'John Sumner', 'Craig Hall', 'Kyle Chandler', 'William Johnson', 'David Pittu', 'Mark Hadlow', 'Geraldine Brophy', 'David Dennis', 'Pip Mushin', 'Jim Knobeloch', 'Ric Herbert', 'Lee Donahue', 'Tom Hobbs', 'Tiriel Mora', 'Jed Brophy', 'John Wraight', 'William Wallace', 'Frank Edwards', 'Crawford Thomson', 'Richard Kavanagh', 'Stephen Hall', 'Joe Folau', 'Chic Littlewood', 'Samuel Taylor']",tmdb,6.6,187.0
Titanic,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",1997,"['Drama', 'Romance', 'Thriller']",['James Cameron'],"['Kate Winslet', 'Leonardo DiCaprio', 'Frances Fisher', 'Billy Zane', 'Kathy Bates', 'Gloria Stuart', 'Bill Paxton', 'Bernard Hill', 'David Warner', 'Victor Garber', 'Jonathan Hyde', 'Suzy Amis', 'Lewis Abernathy', 'Nicholas Cascone', 'Danny Nucci', 'Jason Barry', 'Lew Palter', 'Eric Braeden', 'Bernard Fox', 'Ewan Stewart', 'Ioan Gruffudd', 'Jonny Phillips', 'Edward Fletcher', 'Scott G. Anderson', 'Martin East', 'Gregory Cooke', 'Alexandrea Owens', 'Seth Adkins', 'Michael Ensign', 'Anatoly M. Sagalevitch', 'Martin Hub', 'Mark Lindsay Chapman', 'Richard Graham', 'Paul Brightwell', 'Ron Donachie', 'Charlotte Chatton', 'Fannie Brett', 'Jenette Goldstein', 'Camilla Overbye Roos', 'Linda Kerns', 'Amy Gaipa', 'Martin Jarvis', 'Rosalind Ayres', 'Rochelle Rose', 'Jonathan Evans-Jones', 'Brian Walsh', 'Rocky Taylor', 'Craig Kelly', 'Liam Tuohy', 'Simon Crane', 'James Lancaster', 'Elsa Raven', 'Reece P. Thompson III', 'Laramie Landis', 'Mark Rafael Truitt', 'John Walcutt', 'Terry Forrestal', 'Derek Lea', 'Richard Ashton', 'Sean Nepita', 'Brendan Connolly', 'David Cronnelly', 'Garth Wilton', 'Richard Fox', 'Nick Meaney', 'Kevin Owers', 'Mark Capri', 'Marc Cass', 'Paul Herbert', 'Emmett James', 'Chris Byrne', 'Oliver Page', 'James Garrett', 'Erik Holland', 'Erik Holland', 'Jari Kinnunen', 'Anders Falk', 'Barry Dennen', 'Vern Urich', 'Rebecca Klingler', ""Tricia O'Neil"", 'Kathleen S. Dunn', 'Romeo Francis', 'Mandana Marino', 'Van Ling', 'Bjørn Olsen', 'Dan Pettersson', 'Shay Duffin', 'Greg Ellis', 'Diana Morgan', 'Kris Andersson', 'Bobbie Bates', 'Aaron James Cash', 'Anne Fletcher', 'Edmond Alan Forsyth', 'Andie Hicks', 'Scott Hislop', 'Stan Mazin', 'Lisa Ratzin', 'Julene Renee', 'Brian Baines', 'Ellie Bensinger', 'Alexandra Boyd', 'Mike Butters', 'James Cameron', 'Bruno Campolo', 'Chris Cragnotti', 'Kevyn Currie', 'Kevin De La Noy', 'Thomas Fiss', 'Griffin Howell', 'Sean Howse', 'Tony Kenny', 'Bret Aaron Knower', 'George Kosty III', 'George Kosty Jr.', 'Geoffrey C. Kosty', 'Gregory Charles Kosty', 'Sean Lawlor', 'John Leonhardt', 'Miguel A. Lomelin', 'Don Lynch', 'Johnny Martin', 'Ryan McClurkin', 'Meghan McLeod', ""Mike O'Neal"", 'Julian Oros', 'Phil Parlapiano', 'Judy Prestininzi', 'Steven Quale', 'Olivia Rosewood', 'John Slade', 'Stephen Wolfe Smith', 'R. Gern Trowbridge', 'Francisco Váldez', 'Lucie Zolcerova']",tmdb,7.5,194.0
Captain America: Civil War,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",2016,"['Adventure', 'Action', 'Science Fiction']","['Anthony Russo', 'Joe Russo']","['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson', 'Sebastian Stan', 'Anthony Mackie', 'Don Cheadle', 'Jeremy Renner', 'Chadwick Boseman', 'Paul Bettany', 'Elizabeth Olsen', 'Paul Rudd', 'Emily VanCamp', 'Tom Holland', 'Frank Grillo', 'William Hurt', 'Daniel Brühl', 'John Slattery', 'Kerry Condon', 'Martin Freeman', 'Marisa Tomei', 'John Kani', 'Hope Davis', 'Gene Farber', 'Florence Kasumba', 'Alfre Woodard', 'Jim Rash', 'Stan Lee', 'Joe Russo', 'Damion Poitier', 'Michael A. Cook', 'Laughton Parchment', 'Jackson Spidell', 'Yi Long', 'Heidi Moneymaker', 'Aaron Toney', 'Cale Schultz', 'Ann Russo', 'Cornell John', 'Sven Hönig', 'Joshua Peck', 'Brent McGee', 'Be Satrazemis', 'Blair Jasin', 'Oli Bigalke', 'Rafael Banasik', 'David de Vries', 'John Curran', 'Katie Amess', 'Austin Sanders', 'Brett Gentile', 'Matthew Anderson', 'Andrew Botchwey', 'Chase Bradfield', 'Ernest Charles', 'Hendricks Coates', 'Ethan Condon', 'Shen Dynes', 'Nathaniel Ellis', 'Jariah Ferguson', 'Evan Ffrench', 'Justin Freeman', ""Ralphael Grand'Pierre"", 'Julian Grimes', 'Aaron Hayes', 'Austin Hooper', 'Amiri Jones', 'Myles Joseph', 'Stephen Lewis', 'Jacob Ludwick', ""D'Mahrei McRae"", 'Ashwin Mudaliar', 'Eli Ollinger', 'Parker Pape', 'Daniel Parada', 'Jonah Ruffin', 'Darryl Sampson', 'Cameron Sardone', 'Stanley Sellers', 'Miles Selles', 'Jacob Sung', 'Caden Wilkinson', 'Kim Scar', 'Jessica Walther-Gabory', 'Beniamino Brogi', 'Silvina Buchbauer', 'Henry Amadi', 'Ugochukwu Ani', 'Michael Anthony Rogers', 'Umar Khan', 'David Brown', 'Guy Fernandez', 'Sophia Russo', 'Amelia Morck', 'Julianna Guill', 'Surely Alvelo', 'Brian Schaeffer', 'Kevin LaRosa Jr.', 'Al Cerullo', 'Frédéric North', 'Ray Sahetapy']",tmdb,7.1,147.0
Jurassic World,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",2015,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",['Colin Trevorrow'],"['Chris Pratt', 'Bryce Dallas Howard', 'Irrfan Khan', ""Vincent D'Onofrio"", 'Nick Robinson', 'Ty Simpkins', 'Jake Johnson', 'Omar Sy', 'BD Wong', 'Judy Greer', 'Lauren Lapkus', 'Brian Tee', 'Katie McGrath', 'Andy Buckley', 'Eric Edelstein', 'Jimmy Fallon', 'James DuMont', 'Matt Burke', 'Anna Talakkottur', 'Colin Trevorrow', 'Courtney J. Clark', 'Kelly Washington', 'Matthew Cardarople', 'Chad Randall', 'Yvonne Angulo', 'Chloe Perrin', 'Erika Erica', 'Tiffany Forest']",tmdb,6.5,124.0
Skyfall,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",2012,"['Action', 'Adventure', 'Thriller']",['Sam Mendes'],"['Daniel Craig', 'Judi Dench', 'Javier Bardem', 'Ralph Fiennes', 'Naomie Harris', 'Bérénice Marlohe', 'Albert Finney', 'Ben Whishaw', 'Rory Kinnear', 'Ola Rapace', 'Helen McCrory', 'Nicholas Woodeson', 'Bill Buckhurst', 'Elize du Toit', 'Ian Bonar', 'Tonia Sotiropoulou', 'Wolf Blitzer', 'Jens Hultén', ""Anthony O'Donnell"", 'Jo Cameron Brown', 'Peter Basham', 'Ben Loyd-Holmes', 'Orion Lee', 'Yennis Cheung']",tmdb,6.9,143.0
Spider-Man 2,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.",2004,"['Action', 'Adventure', 'Fantasy']",['Sam Raimi'],"['Tobey Maguire', 'Kirsten Dunst', 'James Franco', 'Alfred Molina', 'Rosemary Harris', 'Donna Murphy', 'J.K. Simmons', 'Daniel Gillies', 'Dylan Baker', 'Willem Dafoe', 'Mageina Tovah', 'Bruce Campbell', 'Stan Lee', 'Scott Spiegel', 'Joel McHale', 'Hal Sparks', 'Donnell Rawlings', 'Emily Deschanel', 'Elizabeth Banks', 'Daniel Dae Kim', 'Aasif Mandvi', 'Joey Diaz', 'Vanessa Ferlito', 'Joy Bryant', 'John Landis', 'Phil LaMarr', 'Gregg Edelman', 'Ted Raimi', 'Cliff Robertson', 'Elya Baskin', 'Bill Nunn', 'Brent Briscoe', 'Christine Estabrook', 'John Paxton', 'Joanne Baron', 'Peter McRobbie', 'Louis Lombardi', 'Marc John Jefferies', 'Reed Diamond', 'Brendan Patrick Connor', 'Dan Callahan', 'Susie Park', 'Brianna Brown', 'Tom Carey', 'Dan Hicks', 'Timothy Patrick Quill', 'Tony Campisi', 'Molly Cheek', 'Kelly Connell', 'Roshon Fegan', 'Taylor Gilbert', 'Timothy Jerome', 'Elyse Dinh', 'Bill E. Rogers', 'Anne Betancourt', 'Tricia Peters', 'Tim Storms', 'Bill Calvert', 'Peter Allas', 'Chloe Dykstra', 'Julia Max', 'Calvin Dean', 'Frank Bonsangue', 'Andre M. Johnson', 'Peter Cincotti', 'Peyton List', 'Spencer List', 'Troy Metcalf', 'Scott Ross', 'Bonnie Somerville', 'Wesley Volcy', 'Lou Volpe', 'David Boston', 'Garrett Warren', 'Michael Arthur', 'Cindy Cheung']",tmdb,6.7,127.0
Iron Man 3,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",2013,"['Action', 'Adventure', 'Science Fiction']",['Shane Black'],"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle', 'Guy Pearce', 'Rebecca Hall', 'Jon Favreau', 'Ben Kingsley', 'James Badge Dale', 'Stephanie Szostak', 'Paul Bettany', 'William Sadler', 'Dale Dickey', 'Ty Simpkins', 'Miguel Ferrer', 'Wang Xue-qi', 'Shaun Toub', 'Matthew Sterling Nye', 'Pat Kiernan', 'Josh Elliott', 'Megan Henderson', 'Thomas Roberts', 'Bill Maher', 'Joan Rivers', 'George Kotsiopoulos', ""Bronte D'Esposito"", 'Noah Visconti', 'Ashley Hamilton', 'Brooke Jayne Taylor', 'Kim Dean', 'Glenn Foster', 'Anthony Reynolds', 'Kendrick Cross', 'Tom Clark', 'Brian Schaeffer', 'John Eddins', 'Spencer Garrett', 'Rockey Dickey Jr.', 'Drew Michael Hershner', 'Sarah Burkhardt', 'Jan Broberg', 'Andrew Lauer', 'Nate Bynum', 'Andrew Lander', 'Tom Virtue', 'Roy McCrerey', 'Serdar Kalsin', 'Demetrois Hodges', 'Bobby Tisdale', 'Yvonne Zima', 'Stan Lee', 'Adam Pally', 'James Rackley', 'Cullen Moss', 'Jake Dewitt', 'Rebecca Mader', 'Kevin Arnold', 'Juan C. Bofill', 'David Buglione', 'Adam Lytle', ""Paul Andrew O'Connor"", 'Phil Ortiz', 'Gwendalyn Barker', 'Steve Wilder', 'Luciana Faulhaber', 'Karina Florez', 'Mike Massa', 'Mark Kubr', 'Si-Fu Eric Oram', 'Naomi Parshin', 'Aurelia Riley', 'Johanna Yunda', 'Wesley Thompson', 'Jenna Ortega', 'T. C. Anyachonkeya', 'Chad Kurtz', 'Cal Johnson', 'Corey Hawkins', 'Linden Ashby', 'Sarah Farooqui', 'Sala Baker', 'Kial Butler', 'Nick Brandon', 'Dan Brown', 'Fernando Chien', 'Ilram Choi', 'Brycen Counts', 'Kiante Elam', 'Dane Farwell', 'Mark Fichera', 'Colin Follenweider', 'Aja Frary', 'Mark Ginther', 'Adrian Gonzalez', 'Dennis Keiffer', 'Samuel Le', 'Tara Macken', 'William Morts', 'Jade Quon', 'J. C. Robaina', 'Markos Rounthwaite', 'Philip J Silvera', 'Brian Simpson', 'Mark Aaron Wagner', 'Chris Gethard', 'Nick W. Nicholson', 'Mark Ruffalo', 'Bridger Zadina']",tmdb,6.8,130.0
Alice in Wonderland,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",2010,"['Family', 'Fantasy', 'Adventure']",['Tim Burton'],"['Mia Wasikowska', 'Johnny Depp', 'Anne Hathaway', 'Helena Bonham Carter', 'Crispin Glover', 'Marton Csokas', 'Lindsay Duncan', 'Matt Lucas', 'Geraldine James', 'Tim Pigott-Smith', 'Leo Bill', 'Frances de la Tour', 'Michael Sheen', 'Alan Rickman', 'Christopher Lee', 'Stephen Fry', 'Timothy Spall', 'Paul Whitehouse', 'Barbara Windsor', 'Michael Gough', 'Imelda Staunton', 'Eleanor Tomlinson', 'Jemma Powell', 'Eleanor Gecks', 'Rebecca Crookshank', 'Holly Hawkins', 'Lucy Davenport', 'Joel Swetow', 'Jessica Oyelowo', 'Ethan Cohn', 'Chris Grabher', 'Bonnie Parker', 'Simone Sault', 'Dale Mercer', 'Cortney Palm']",tmdb,6.4,108.0
X-Men: The Last Stand,"When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.",2006,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",['Brett Ratner'],"['Hugh Jackman', 'Halle Berry', 'Ian McKellen', 'Patrick Stewart', 'Famke Janssen', 'Anna Paquin', 'Kelsey Grammer', 'Shawn Ashmore', 'Aaron Stanford', 'Ellen Page', 'Rebecca Romijn', 'James Marsden', 'Vinnie Jones', 'Ben Foster', 'Daniel Cudmore', 'Dania Ramirez', 'Cameron Bright', 'Ken Leung', 'Eric Dane', 'Omahyra Mota', 'Meiling Melançon', 'Kea Wong', 'Shauna Kain', 'Michael Murphy', 'Shohreh Aghdashloo', 'Josef Sommer', 'Bill Duke', 'Haley Ramm', 'Cayden Boyd', 'Stan Lee', 'Alex Ferris', 'Olivia Williams']",tmdb,6.3,104.0
